,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
getting_started_with_streamlit_in_snowflake,Quickstart Guide Cybersyn Streamlit in Snowflake Financial Demo,https://quickstarts.snowflake.com/guide/getting_started_with_streamlit_in_snowflake/index.html,"ashleynagaki, vskarine",How to run custom Streamlit app in Snowflake,Streamlit,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Jun 23, 2023","Jul 8, 2024",jdanielmyers
vhol_snowpipe_streaming_msk,Getting Started with Snowpipe Streaming and Amazon MSK,https://quickstarts.snowflake.com/guide/vhol_snowpipe_streaming_msk/index.html,James Sun,This guide will walk you through how to apply a data-intensive approach to real-time data using Snowpipe Streaming and Amazon Managed Streaming for Apache Kafka (MSK).,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Hidden,"Jun 23, 2023","Jul 8, 2024",jdanielmyers
frosty_llm_chatbot_on_streamlit_snowflake,Frosty Build an LLM Chatbot in Streamlit on your Snowflake Data,https://quickstarts.snowflake.com/guide/frosty_llm_chatbot_on_streamlit_snowflake/index.html,"Joshua Carroll, Richard Meng, Caroline Frasca",This guide provides the instructions for writing an LLM chatbot in Streamlit on your Snowflake data.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,App Development,AI: Conversational Assistants,snowflake-site:taxonomy/snowflake-feature/ingestion/conversational-assistants,,ML,AI - Snowflake ML,snowflake-site:taxonomy/snowflake-feature/snowflake-ml-functions,,,,,,,,,,Hidden,"Jun 25, 2023","Jul 8, 2024",jdanielmyers
tasty_bytes_snowpark_101_for_data_science_ja,Tasty Bytes Snowpark,https://quickstarts.snowflake.com/guide/tasty_bytes_snowpark_101_for_data_science_ja/index.html,Marie Coolsaet,Tasty Bytes - データサイエンスのためのSnowpark入門,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,jp,,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,ML,,,,Data Science,,,,,,,,Published,"Jul 21, 2023","Jul 8, 2024",jdanielmyers
text_embedding_as_snowpark_python_udf,Text Embedding As A Snowpark Python UDF,https://quickstarts.snowflake.com/guide/text_embedding_as_snowpark_python_udf/index.html,Luke Merrick (lukemerrick.com),Text Embedding As A Snowpark Python UDF,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,ML,,,,,,,,,,,,,,,,Published,"Aug 7, 2023","Jul 8, 2024",jdanielmyers
parsing_semi_structured_data_with_coalesce,Parsing Semi Structured Data with Coalesce,https://quickstarts.snowflake.com/guide/parsing_semi_structured_data_with_coalesce/index.html,Christina Jimenez,Parsing Semi-Structured Data (JSON / XML) with Coalesce,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,public,"Aug 18, 2023","Jul 8, 2024",jdanielmyers
getting_started_with_azure_openai_and_snowflake,Getting Started with Azure OpenAI and Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_azure_openai_and_snowflake/index.html,marzillo-snow,This is a quickstart for using Snowflake with Azure OpenAI and AzureML,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Data Science,,,,Data Engineering,,,,App Development,ML,,,,,,,Hidden,"Aug 31, 2023","Jul 8, 2024",jdanielmyers
getting_started_with_sagemaker_canvas_with_snowflake_for_genai,Getting Started with Amazon Sagemaker Canvas and Snowflake for Generative AI Use Cases,https://quickstarts.snowflake.com/guide/getting_started_with_sagemaker_canvas_with_snowflake_for_genai/index.html,marzillo-snow,This is a quickstart for using Sagemaker with Canvas for Generative AI,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Data Science,,,,Data Engineering,,,,App Development,Gen AI,LLMs,aws,ML,,,,Published,"Oct 20, 2023","Jul 8, 2024",jdanielmyers
prompt_engineering_and_llm_evaluation,Prompt Engineering and Evaluation of LLM responses,https://quickstarts.snowflake.com/guide/prompt_engineering_and_llm_evaluation/index.html,Vino Duraisamy,This guide provides instructions to perform prompt engineering on your LLM models and to build a streamlit app for evaluating LLM responses using human feedback,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,App Development,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,ML,,,,,,,,,,,,Published,"Oct 20, 2023","Jul 8, 2024",jdanielmyers
getting-started-snowflake-python-api,Getting Started with the Snowflake Python API,https://quickstarts.snowflake.com/guide/getting-started-snowflake-python-api/index.html,"Gilberto Hernandez, Kamesh Sampath",Learn how to get started with Snowflake's Python API to manage Snowflake objects and tasks.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Dec 5, 2023","Jul 8, 2024",jdanielmyers
rudderstack_predictions,Build predictive features without MLOps using RudderStack and Snowflake,https://quickstarts.snowflake.com/guide/rudderstack_predictions/index.html,RudderStack,Create predictive features with RudderStack and Snowflake without MLOps,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Data Engineering",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,Getting Started,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,AI,,,,,,,,,,,,Draft,"Jan 17, 2024","Jul 8, 2024",jdanielmyers
mongodb_to_snowflake_cdc_data_replication_with_rivery,MongoDB to Snowflake CDC Data Replication with Rivery,https://quickstarts.snowflake.com/guide/mongodb_to_snowflake_cdc_data_replication_with_rivery/index.html,Zachary Cie,MongoDB to Snowflake CDC Data Replication with Rivery,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,,,,,,,,Partner Integrations,,,,,,,,Published,"Jan 18, 2024","Jul 8, 2024",jdanielmyers
data_apps_summit_lab_ja,Snowflake Snowpark Streamlit,https://quickstarts.snowflake.com/guide/data_apps_summit_lab_ja/index.html,N/A,これはサンプルのSnowflakeガイドのカテゴリーです,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,App Development,,,,,,,,,,,,,,,,Published,"Jan 29, 2024","Jul 8, 2024",jdanielmyers
data_apps_summit_lab_kr,Snowflake Snowpark Streamlit,https://quickstarts.snowflake.com/guide/data_apps_summit_lab_kr/index.html,N/A,This is a sample Snowflake Guide,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,App Development,,,,,,,,,,,,,,,,Published,"Mar 6, 2024","Jul 8, 2024",jdanielmyers
tasty_bytes_introduction_kr,Tasty Bytes,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction_kr/index.html,Jacob Kranzler,This is the Tasty Bytes Introduction and Data Foundation Quickstart guide,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 11, 2024","Jul 8, 2024",jdanielmyers
tasty_bytes_snowpark_101_for_data_science_kr,Tasty Bytes Snowpark 101,https://quickstarts.snowflake.com/guide/tasty_bytes_snowpark_101_for_data_science_kr/index.html,Marie Coolsaet,Tasty Bytes - Snowpark 101 for Data Science Quickstart,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Platform, Data Engineering",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/data-engineering,Getting Started,,,,ML,DE - Snowpark DE,snowflake-site:taxonomy/snowflake-feature/snowpark,,Data Science,,,,,,,,Published,"Mar 11, 2024","Jul 8, 2024",jdanielmyers
tasty_bytes_snowpark_101_for_data_science_it,Tasty Bytes Introduzione a Snowpark per la data science,https://quickstarts.snowflake.com/guide/tasty_bytes_snowpark_101_for_data_science_it/index.html,Marie Coolsaet,Quickstart Tasty Bytes - Introduzione a Snowpark per la data science,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,ML,,,,Data Science,,,,,,,,Published,"Mar 28, 2024","Jul 8, 2024",jdanielmyers
data_lake_using_apache_iceberg_with_snowflake_and_aws_glue,Build Data Lakes using Apache Iceberg with Snowflake and AWS Glue,https://quickstarts.snowflake.com/guide/data_lake_using_apache_iceberg_with_snowflake_and_aws_glue/index.html,Andries Engelbrecht,This guide shows how to integrate Snowflake with External Volumes to S3 and the Glue Data Catalog for use with Iceberg tables,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,,,,,,,,,Published,"May 14, 2024","Jul 8, 2024",jdanielmyers
end_to_end_model_development_with_snowpark_and_hex,End to End Model Development with Hex and Snowpark,https://quickstarts.snowflake.com/guide/end_to_end_model_development_with_snowpark_and_hex/index.html,Armin Efendic and Chase Romano,This lab will walk you through how to use Snowflake and Hex.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Published,"May 15, 2024","Jul 8, 2024",jdanielmyers
horizon_intra_org_sharing,Horizon Access for Intra Company Sharing,https://quickstarts.snowflake.com/guide/horizon_intra_org_sharing/index.html,"Matthias Nicola, Vinay Srihari",explore Horizon Access pillar features for intra-company sharing of data and apps,Data-Sharing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"May 22, 2024","Jul 8, 2024",jdanielmyers
getting_started_with_microsoft_purview_and_snowflake,Getting Started with Microsoft Purview and Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_microsoft_purview_and_snowflake/index.html,sfc-gh-etolotti,This is a Quickstart for using Snowflake with Microsoft Purview,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,data-governance,,,,Microsoft,,,,,,,,,,,,Published,"May 28, 2024","Jul 8, 2024",jdanielmyers
data_collaboration_two_way,Two Way Data Collaboration,https://quickstarts.snowflake.com/guide/data_collaboration_two_way/index.html,Tim Buchhorn,This is a Snowflake Guide on how to use Snowflake's Data Collaboration features to share an enrich data.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"May 30, 2024","Jul 8, 2024",jdanielmyers
visual_data_stories_with_snowflake_notebooks,A Guide to Visual Data Storytelling in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/visual_data_stories_with_snowflake_notebooks/index.html,"Vino Duraisamy, Doris Lee",This guide provides the instructions on how to build visualizations in Snowflake Notebook.,,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/visual-data-stories-with-snowflake-notebooks/,Remove,,en,Platform,snowflake-site:taxonomy/product/platform,,Getting Started,"Platform: Observability, Apps & Collab: Build",snowflake-site:taxonomy/snowflake-feature/observability,snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,Published,"Jun 1, 2024","Jul 8, 2024",jdanielmyers
getting_started_with_snowpipe_streaming_azure_eventhubs,Getting Started with Snowpipe Streaming and Azure Event Hubs,https://quickstarts.snowflake.com/guide/getting_started_with_snowpipe_streaming_azure_eventhubs/index.html,James Sun,This guide will walk you through how to apply a data-intensive approach to real-time data using Snowpipe Streaming and Azure Eventhubs.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Jun 24, 2024","Jul 8, 2024",jdanielmyers
building_ml_models_in_minutes_with_hex_and_snowflake_ml_functions,Building ML Models In Minutes With Hex And Snowflake ML Functions,https://quickstarts.snowflake.com/guide/building_ml_models_in_minutes_with_hex_and_snowflake_ml_functions/index.html,Armin Efendic,This lab will walk you through how to use Snowflake ML Functions and Hex.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/community-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/building-ml-models-in-minutes-with-hex-and-snowflake-cortex/,Remove,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Published,"Jun 26, 2024","Jul 8, 2024",jdanielmyers
cortex_ai_sentiment_iceberg,Sentiment Analysis Using Snowflake Cortex AI on Iceberg Tables,https://quickstarts.snowflake.com/guide/cortex_ai_sentiment_iceberg/index.html,"Vino Duraisamy, Ron Ortloff, Scott Teal",This is a guide for applying artificial intelligence on an Iceberg open data lakehouse,Cortex,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/community-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/sentiment-analysis-using-cortex-on-iceberg-tables-in-snowflake/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,,Analytics: Lakehouse Analytics,snowflake-site:taxonomy/snowflake-feature/lakehouse-analytics,,,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,,,,,,,,,Published,"Jun 10, 2024","Jul 10, 2024",scottteal
